,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Tgt,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
95,Walter Payton,CHI,RB,25.0,16.0,16.0,1.0,1.0,54.0,0.0,369.0,1610.0,,31.0,313.0,10.1,7.0,0.0,54.0,1.0,1.0,1610.0,14.0,369.0,313.0,2.0,311.46
96,Walter Payton,CHI,RB,25.0,16.0,16.0,1.0,1.0,54.0,0.0,369.0,1610.0,,31.0,313.0,10.1,7.0,0.0,54.0,1.0,1.0,1610.0,14.0,369.0,313.0,2.0,311.46
97,Deuce McAllister,NOR,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,325.0,1388.0,74.0,47.0,352.0,7.49,4.0,3.0,0.0,0.0,0.0,1388.0,13.0,325.0,352.0,3.0,311.0
98,Clinton Portis,DEN,RB,22.0,13.0,13.0,0.0,0.0,0.0,0.0,290.0,1591.0,51.0,38.0,314.0,8.26,3.0,1.0,0.0,0.0,0.0,1591.0,14.0,290.0,314.0,0.0,310.5
99,Edgerrin James,IND,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,360.0,1506.0,50.0,44.0,337.0,7.66,2.0,1.0,0.0,0.0,0.0,1506.0,13.0,360.0,337.0,1.0,310.3
100,Thurman Thomas,BUF,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,298.0,1244.0,,60.0,669.0,11.15,7.0,0.0,0.0,0.0,0.0,1244.0,6.0,298.0,669.0,6.0,309.3
101,Austin Ekeler,LAC,RB,24.0,16.0,8.0,0.0,0.0,0.0,0.0,132.0,557.0,108.0,92.0,993.0,10.79,3.0,2.0,0.0,0.0,0.0,557.0,3.0,132.0,993.0,8.0,309.0
102,Terry Allen,WAS,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,347.0,1353.0,42.0,32.0,194.0,6.06,4.0,2.0,0.0,0.0,0.0,1353.0,21.0,347.0,194.0,0.0,308.7000000000001
103,Barry Sanders,DET,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,331.0,1883.0,65.0,44.0,283.0,6.43,0.0,0.0,0.0,0.0,0.0,1883.0,7.0,331.0,283.0,1.0,308.6
104,Curtis Martin,NYJ,RB,27.0,16.0,16.0,1.0,1.0,18.0,0.0,316.0,1204.0,96.0,70.0,508.0,7.26,2.0,2.0,18.0,1.0,1.0,1204.0,9.0,316.0,508.0,2.0,307.92
105,Herschel Walker,DAL,RB,24.0,16.0,9.0,0.0,0.0,0.0,0.0,151.0,737.0,,76.0,837.0,11.01,5.0,0.0,0.0,0.0,0.0,737.0,12.0,151.0,837.0,2.0,307.4
106,Fred Taylor,JAX,RB,22.0,15.0,12.0,0.0,0.0,0.0,0.0,264.0,1223.0,53.0,44.0,421.0,9.57,3.0,2.0,0.0,0.0,0.0,1223.0,14.0,264.0,421.0,3.0,306.4
107,DeAngelo Williams,CAR,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,273.0,1515.0,30.0,22.0,121.0,5.5,0.0,0.0,0.0,0.0,0.0,1515.0,18.0,273.0,121.0,2.0,305.6
108,Walter Payton,CHI,RB,29.0,16.0,16.0,3.0,6.0,95.0,2.0,314.0,1421.0,,53.0,607.0,11.45,5.0,0.0,95.0,3.0,6.0,1421.0,6.0,314.0,607.0,2.0,305.6
109,Arian Foster,HOU,RB,25.0,13.0,13.0,0.0,0.0,0.0,0.0,278.0,1224.0,72.0,53.0,617.0,11.64,6.0,2.0,0.0,0.0,0.0,1224.0,10.0,278.0,617.0,2.0,305.1
110,Maurice Jones-Drew,JAX,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,343.0,1606.0,64.0,43.0,374.0,8.7,6.0,1.0,0.0,0.0,0.0,1606.0,8.0,343.0,374.0,3.0,305.0
111,Shaun Alexander,SEA,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,326.0,1435.0,59.0,42.0,295.0,7.02,4.0,3.0,0.0,0.0,0.0,1435.0,14.0,326.0,295.0,2.0,305.0
112,Terrell Davis,DEN,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,345.0,1538.0,52.0,36.0,310.0,8.61,5.0,3.0,0.0,0.0,0.0,1538.0,13.0,345.0,310.0,2.0,304.8
113,Ricky Watters,PHI,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,353.0,1411.0,70.0,51.0,444.0,8.71,5.0,5.0,0.0,0.0,0.0,1411.0,13.0,353.0,444.0,0.0,304.5
114,Matt Forte,CHI,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,316.0,1238.0,76.0,63.0,477.0,7.57,1.0,1.0,0.0,0.0,0.0,1238.0,8.0,316.0,477.0,4.0,304.5
115,Barry Sanders,DET,RB,27.0,16.0,16.0,1.0,2.0,11.0,0.0,314.0,1500.0,70.0,48.0,398.0,8.29,3.0,3.0,11.0,0.0,2.0,1500.0,11.0,314.0,398.0,1.0,304.24
116,Edgerrin James,IND,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,334.0,1548.0,60.0,51.0,483.0,9.47,6.0,2.0,0.0,0.0,0.0,1548.0,9.0,334.0,483.0,0.0,304.1
117,Barry Sanders,DET,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,255.0,1304.0,,36.0,480.0,13.33,4.0,0.0,0.0,0.0,0.0,1304.0,13.0,255.0,480.0,3.0,302.4
118,Marshawn Lynch,SEA,RB,28.0,16.0,14.0,0.0,0.0,0.0,0.0,280.0,1306.0,48.0,37.0,367.0,9.92,4.0,2.0,0.0,0.0,0.0,1306.0,13.0,280.0,367.0,4.0,302.3
119,Arian Foster,HOU,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,351.0,1424.0,58.0,40.0,217.0,5.43,3.0,2.0,0.0,0.0,0.0,1424.0,15.0,351.0,217.0,2.0,302.1
120,Derek Loville,SFO,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,218.0,723.0,110.0,87.0,662.0,7.61,1.0,1.0,0.0,0.0,0.0,723.0,10.0,218.0,662.0,3.0,301.5
121,Dorsey Levens,GNB,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,329.0,1435.0,67.0,53.0,370.0,6.98,5.0,2.0,0.0,0.0,0.0,1435.0,7.0,329.0,370.0,5.0,301.5
122,Neal Anderson,CHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,274.0,1275.0,,50.0,434.0,8.68,5.0,0.0,0.0,0.0,0.0,1275.0,11.0,274.0,434.0,4.0,300.9
123,Charlie Garner,SFO,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,258.0,1142.0,94.0,68.0,647.0,9.51,4.0,3.0,0.0,0.0,0.0,1142.0,7.0,258.0,647.0,3.0,300.9
124,Eric Dickerson,RAM,RB,24.0,16.0,16.0,0.0,1.0,0.0,1.0,379.0,2105.0,,21.0,139.0,6.62,14.0,0.0,0.0,0.0,1.0,2105.0,14.0,379.0,139.0,0.0,299.4
125,Emmitt Smith,DAL,RB,24.0,14.0,13.0,0.0,0.0,0.0,0.0,283.0,1486.0,65.0,57.0,414.0,7.26,4.0,0.0,0.0,0.0,0.0,1486.0,9.0,283.0,414.0,1.0,299.0
